Name of University,No of student,Research Score,Location
Simon Fraser University,26981,36.8,
Stellenbosch University,24907,36.9,
Sun Yat-sen University,57951,37.4,China
Tongji University,30153,52.3,China
University of Utah,30967,34.9,United States
Virginia Polytechnic Institute and State University,36512,36.2,
University of the Witwatersrand,26871,44.3,
Aix-Marseille University,70054,24.9,France
Autonomous University of Madrid,29327,31.2,Spain
University of Bordeaux,53755,27.8,
University at Buffalo,27393,33.7,United States
Florida State University,39380,37.3,United States
George Mason University,32157,26.8,United States
University of Iowa,29257,31.6,United States
University of Milan,47512,30.4,Italy
University of Milan-Bicocca,29057,25.9,Italy
Montpellier University,40179,33.6,France
Nankai University,31322,24.9,China
Politecnico di Milano,37532,45.3,
RMIT University,32692,32.7,Australia
University of South Australia,23490,36.1,
Stony Brook University,25411,26.8,United States
The University of Tennessee-Knoxville,27308,28.4,United States
University of Victoria,20936,33.7,Canada
Central South University,56344,41.2,China
University of Delaware,21808,39.0,United States
East China Normal University,28055,32.6,China
Harbin Institute of Technology,30542,46.9,China
University of Liège,21910,38.4,Belgium
University of Manitoba,29561,31.2,Canada
University of Naples Federico II,53319,28.3,Italy
North Carolina State University,31540,38.2,United States
University of Rome II – Tor Vergata,24038,28.8,Italy
University of Texas at Dallas,25464,27.0,United States
Washington State University,29463,32.7,United States
University of Campinas,31199,46.7,Brazil
Claude Bernard University Lyon 1,28253,27.2,France
"Colorado State University, Fort Collins",29351,29.6,United States
Complutense University of Madrid,61128,34.7,Spain
University of Connecticut,27752,29.3,United States
University of Electronic Science and Technology of China,35232,31.2,China
University of Ferrara,20507,24.7,Italy
University of Florence,39407,32.4,Italy
University of Genoa,20447,28.3,Italy
Georgia State University,34734,26.9,United States
Université Grenoble Alpes,50868,35.0,France
Hanyang University,20079,40.8,
Hunan University,41580,26.4,China
Iowa State University,28767,36.9,United States
Justus Liebig University Giessen,28278,37.3,Germany
University of Kansas,24435,24.4,United States
University of KwaZulu-Natal,35795,34.4,
Leibniz University Hannover,21677,39.2,Germany
University of Marburg,23383,30.1,Germany
University of Nebraska-Lincoln,24909,31.0,United States
Norwegian University of Science and Technology,37707,34.7,Norway
University of Pisa,33791,30.2,Italy
Pontificia Universidad Católica de Chile,31578,31.9,Chile
University of Porto,33484,32.3,Portugal
Shenzhen University,38240,27.9,China
South China University of Technology,40082,35.6,China
Southeast University,37484,42.3,China
Southern Medical University,20432,37.7,
Syracuse University,20620,28.0,United States
Tianjin University,27353,42.8,China
University of Turin,58463,29.7,Italy
Xiamen University,42760,28.5,China
York University,44036,33.1,
Beihang University,31821,39.6,China
Beijing Institute of Technology,35710,36.2,China
Charles University,49787,31.0,Czech Republic
Federal University of Toulouse Midi-Pyrénées,108889,27.5,France
Florida International University,35590,27.4,United States
University of Guelph,22763,33.4,Canada
University of Kentucky,27216,27.3,United States
University of Lisbon,48404,35.7,Portugal
Northwestern Polytechnical University,34095,37.7,China
University of South Carolina-Columbia,33025,24.0,United States
TU Dortmund University,25046,43.2,Germany
University of Valencia,50575,23.8,Spain
Xi’an Jiaotong University,44942,42.7,China
University of Arkansas,25207,27.6,United States
Auburn University,27512,23.4,United States
Carleton University,28760,30.5,Canada
University of Central Florida,62248,29.5,United States
Chongqing University,40696,33.2,
University of Coimbra,21429,35.2,Portugal
Concordia University,35592,27.4,Canada
Dalian University of Technology,38465,29.6,China
University of Georgia,37465,25.8,United States
University of Granada,54619,28.8,Spain
Hacettepe University,38444,26.1,Turkey
University of Houston,46958,28.0,United States
Jagiellonian University,34725,25.3,Poland
University of Johannesburg,29167,33.4,
Mizzou - University of Missouri,25113,25.3,United States
Nanjing Agricultural University,28184,24.1,China
Nantes Université,36281,24.4,France
National Cheng Kung University (NCKU),20080,39.9,
"University of Nevada, Las Vegas",26730,24.6,United States
NOVA University of Lisbon,20996,31.1,Portugal
Polytechnic University of Turin,29428,26.7,Italy
Université du Québec,50418,29.1,Canada
Universiti Sains Malaysia,23492,25.3,Malaysia
Shanghai University,37499,33.1,China
University of Belgrade,93251,33.0,Serbia
Chulalongkorn University,34095,25.5,
Keio University,33636,24.7,Japan
Makerere University,31233,27.7,Uganda
Masaryk University,32271,29.7,Czech Republic
"Northeastern University, China",39155,24.8,China
Panthéon-Sorbonne University – Paris 1,35547,32.1,France
University of Pretoria,36492,31.6,South Africa
University of Rome III,33264,24.1,Italy
University of Science and Technology Beijing,28432,29.8,China
Toronto Metropolitan University,36218,30.8,
University of Warsaw,37090,27.4,Poland
"Adam Mickiewicz University, Poznań",35901,25.3,Poland
Beijing Jiaotong University,29086,28.3,China
Chonnam National University,24436,24.2,
University of Delhi,27471,24.2,India
Universidade Estadual Paulista (Unesp),42008,28.8,Brazil
Federal University of Rio de Janeiro,45747,25.3,Brazil
Ferdowsi University of Mashhad,25269,25.7,Iran
Jeonbuk National University,20453,23.7,
Nanjing University of Aeronautics and Astronautics,32300,26.1,China
National Autonomous University of Mexico,172729,29.5,Mexico
Pusan National University,21018,32.5,
University of South Africa,236282,25.5,South Africa
University of Texas Rio Grande Valley,29420,23.7,United States
Waseda University,46799,23.8,Japan
Yıldız Technical University,25532,26.7,
Bandung Institute of Technology (ITB),20915,25.8,Indonesia
Chungnam National University,21244,24.6,South Korea
